6	40	37
6	41	27
6	40	38
6	41	28
6	42	18
6	40	39
6	41	29
6	42	19
4	35	11
4	35	10
5	5	62
5	6	52
4	34	12
5	7	42
5	8	32
5	9	22
5	3	82
5	4	72
5	5	63
5	6	53
4	34	11
5	7	43
5	8	33
5	9	23
5	3	83
5	4	73
5	6	50
5	4	70
5	5	60
4	34	14
5	7	40
5	8	30
5	9	20
5	3	80
5	5	61
5	4	71
4	34	13
5	6	51
5	7	41
5	8	31
5	9	21
5	3	81
5	5	68
5	6	58
5	7	48
5	8	38
5	9	28
5	4	78
5	5	69
5	6	59
5	7	49
5	8	39
5	9	29
5	4	79
5	5	66
5	6	56
5	7	46
5	8	36
5	9	26
5	3	86
5	4	76
5	5	67
5	6	57
5	3	87
5	7	47
5	8	37
5	9	27
5	4	77
5	5	64
5	6	54
5	7	44
5	8	34
5	9	24
5	3	84
5	4	74
5	5	65
5	6	55
5	7	45
5	8	35
5	9	25
5	3	85
5	4	75
6	43	10
6	40	40
6	41	30
6	42	20
6	43	11
6	40	41
6	41	31
6	42	21
6	43	12
6	40	42
6	41	32
6	42	22
6	43	13
6	40	43
6	41	33
6	42	23
6	43	14
6	40	44
6	41	34
6	42	24
6	43	15
6	40	45
6	41	35
6	43	16
6	40	46
6	41	36
6	43	17
6	40	47
6	41	37
6	40	48
6	41	38
6	43	18
6	40	49
6	41	39
6	43	19
4	34	10
4	33	11
5	1	70
5	2	60
5	3	50
4	33	10
5	4	40
5	5	30
5	6	20
4	33	13
4	33	12
4	33	14
5	2	67
5	3	57
5	4	47
5	5	37
5	6	27
5	7	17
5	1	77
5	2	68
5	3	58
5	4	48
5	5	38
5	6	28
5	7	18
5	1	78
5	2	65
5	3	55
5	4	45
5	5	35
5	6	25
5	7	15
5	1	75
5	2	66
5	3	56
5	4	46
5	5	36
5	6	26
5	7	16
5	1	76
5	7	13
5	2	63
5	3	53
5	4	43
5	5	33
5	6	23
5	1	73
5	7	14
5	2	64
5	3	54
5	4	44
5	5	34
5	6	24
5	1	74
5	1	71
5	2	61
5	3	51
5	4	41
5	5	31
5	6	21
5	7	12
5	2	62
5	3	52
5	4	42
5	5	32
5	6	22
5	1	72
6	40	50
6	41	40
6	43	20
6	40	51
6	41	41
6	43	21
6	40	52
6	41	42
6	43	22
6	40	53
6	41	43
6	43	23
6	40	54
6	41	44
6	41	45
5	1	68
5	2	58
6	41	46
5	3	48
5	4	38
5	5	28
5	6	18
